2015-04-28 23:58:19 WARN - Unable to connect to url: "http://labinform.ru/pub/ruthes/te/27/001/index.htm"
2015-04-29 00:00:27 INFO - Word loading completed!
2015-04-29 00:22:06 INFO - Word dictionary doesn't contain word: "абонементская плата"
2015-04-29 00:22:06 INFO - Word dictionary doesn't contain word: "абонементская плата"
2015-04-29 00:22:07 INFO - Word dictionary doesn't contain word: "абонементская плата"
2015-04-29 00:22:08 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:22:08 INFO - Word dictionary doesn't contain word: "что высказано"
2015-04-29 00:22:08 INFO - Word dictionary doesn't contain word: "намерений"
2015-04-29 00:22:08 INFO - Word dictionary doesn't contain word: "отказаться от продолжения"
2015-04-29 00:22:09 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 00:22:09 INFO - Word dictionary doesn't contain word: "что высказано"
2015-04-29 00:22:10 INFO - Word dictionary doesn't contain word: "вызывающий сомнение"
2015-04-29 00:22:10 INFO - Word dictionary doesn't contain word: "вызывающий сомнение"
2015-04-29 00:22:12 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:12 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:13 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:13 INFO - Word dictionary doesn't contain word: "улица в населенном пункте"
2015-04-29 00:22:13 INFO - Word dictionary doesn't contain word: "совокупность организаций в сфере деят"
2015-04-29 00:22:13 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:14 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:17 INFO - Word dictionary doesn't contain word: "совокупность организаций в сфере деят"
2015-04-29 00:22:17 INFO - Word dictionary doesn't contain word: "прекращение существования"
2015-04-29 00:22:17 INFO - Word dictionary doesn't contain word: "искусство вождения"
2015-04-29 00:22:22 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:22:22 INFO - Word dictionary doesn't contain word: "европейцы"
2015-04-29 00:22:23 INFO - Word dictionary doesn't contain word: "внутренность здания"
2015-04-29 00:22:24 INFO - Word dictionary doesn't contain word: "короткий текст"
2015-04-29 00:22:24 INFO - Word dictionary doesn't contain word: "короткий текст"
2015-04-29 00:22:24 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:22:26 INFO - Word dictionary doesn't contain word: "внутренность здания"
2015-04-29 00:22:28 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:22:29 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:22:31 INFO - Stopped loading synonyms
2015-04-29 00:22:31 INFO - Amount of checked words: 594
2015-04-29 00:24:17 INFO - Word dictionary doesn't contain word: "подразделение государственной территории"
2015-04-29 00:24:17 INFO - Word dictionary doesn't contain word: "подразделение государственной территории"
2015-04-29 00:24:18 INFO - Word dictionary doesn't contain word: "совокупность организаций в сфере деят"
2015-04-29 00:24:21 INFO - Word dictionary doesn't contain word: "имеющий влияние"
2015-04-29 00:24:21 INFO - Word dictionary doesn't contain word: "имеющий влияние"
2015-04-29 00:24:21 INFO - Word dictionary doesn't contain word: "имеющий влияние"
2015-04-29 00:24:21 INFO - Word dictionary doesn't contain word: "поясняющее замечание"
2015-04-29 00:24:24 INFO - Word dictionary doesn't contain word: "путь сообщения"
2015-04-29 00:24:24 INFO - Word dictionary doesn't contain word: "тащить направляя куда-либо"
2015-04-29 00:24:25 INFO - Word dictionary doesn't contain word: "совокупность организаций в сфере деят"
2015-04-29 00:24:26 INFO - Word dictionary doesn't contain word: "совокупность мероприятий"
2015-04-29 00:24:26 INFO - Word dictionary doesn't contain word: "совокупность мероприятий"
2015-04-29 00:24:26 INFO - Word dictionary doesn't contain word: "совокупность мероприятий"
2015-04-29 00:24:26 INFO - Word dictionary doesn't contain word: "совокупность мероприятий"
